neighborhood,census_tract_id
West End,39061000200
Downtown,39061000700
OTR-Pendleton,39061000900
OTR-Pendleton,39061001000
OTR-Pendleton,39061001100
OTR-Pendleton,39061001600
OTR-Pendleton,39061001700
Mt. Auburn,39061001800
Walnut Hills,39061001900
E. Walnut Hills,39061002000
Mt. Auburn,39061002200
Mt. Auburn,39061002300
CUF,39061002500
CUF,39061002600
CUF,39061002700
Camp Washington,39061002800
CUF,39061002900
CUF,39061003000
Corryville,39061003200
Corryville,39061003300
Walnut Hills,39061003600
Walnut Hills,39061003700
Evanston,39061003800
Evanston,39061003900
Evanston,39061004000
Evanston,39061004100
E. Walnut Hills,39061004200
Anderson Twp.-Newtown,39061004500
Mt. Washington,39061004602
Mt. Washington,39061004603
Mt. Washington,39061004604
Mt. Washington,39061004605
Mt. Lookout,39061004701
East End-Linwood,39061004702
Mt. Lookout,39061004800
Hyde Park,39061004900
Hyde Park,39061005000
Hyde Park,39061005100
Oakley,39061005200
Oakley,39061005301
Oakley,39061005302
Oakley,39061005400
Madisonville,39061005500
Madisonville,39061005600
Pleasant Ridge,39061005701
Pleasant Ridge,39061005702
Kennedy Hts.,39061005800
Pleasant Ridge,39061005900
Hartwell,39061006000
Carthage,39061006100
Bond Hill,39061006300
Bond Hill,39061006400
N. Avondale,39061006500
Avondale,39061006600
Avondale,39061006800
Avondale,39061006900
Clifton,39061007000
Clifton,39061007100
Clifton,39061007200
Spring Grove Vlg.,39061007300
Northside,39061007400
Northside,39061007500
S. Cumminsville-Millvale,39061007700
Northside,39061007800
Northside,39061007900
Winton Hills,39061008000
College Hill,39061008100
College Hill,39061008201
College Hill,39061008202
Mt. Airy,39061008300
College Hill,39061008400
Mt. Airy,39061008501
Roll Hill,39061008502
N. Fairmount,39061008601
Westwood,39061008800
E. Price Hill,39061009200
E. Price Hill,39061009300
E. Price Hill,39061009400
E. Price Hill,39061009500
E. Price Hill,39061009600
W. Price Hill,39061009700
W. Price Hill,39061009800
W. Price Hill,39061009901
W. Price Hill,39061009902
Westwood,39061010002
Westwood,39061010003
Westwood,39061010004
W. Price Hill,39061010005
Westwood,39061010100
Westwood,39061010201
Westwood,39061010202
Riverside-Sedamsville,39061010300
Riverside-Sedamsville,39061010400
Sayler Park,39061010500
Sayler Park,39061010600
W. Price Hill,39061010700
Madisonville,39061010800
Westwood,39061010900
Roselawn,39061011000
College Hill,39061011100
Miami Twp.,39061020401
Miami Twp.,39061020403
Miami Twp.,39061020404
Colerain Twp.,39061020501
Colerain Twp.,39061020502
Colerain Twp.,39061020504
Colerain Twp.,39061020505
Green Twp.,39061020601
Green Twp.,39061020602
Colerain Twp.,39061020701
Colerain Twp.,39061020705
Colerain Twp.,39061020707
Colerain Twp.,39061020741
Colerain Twp.,39061020742
Colerain Twp.,39061020761
Colerain Twp.,39061020762
Green Twp.,39061020802
Green Twp.,39061020811
Green Twp.,39061020812
Cheviot,39061020901
Cheviot,39061020902
Green Twp.,39061021001
Green Twp.,39061021002
Green Twp.,39061021003
Green Twp.,39061021101
Green Twp.,39061021102
Green Twp.,39061021201
Green Twp.,39061021202
Delhi Twp.,39061021302
Delhi Twp.,39061021303
Delhi Twp.,39061021304
Delhi Twp.,39061021401
Delhi Twp.,39061021421
Delhi Twp.,39061021422
Springdale,39061021501
Forest Park,39061021504
Forest Park,39061021505
Forest Park,39061021506
Springfield Twp.,39061021508
Springfield Twp.,39061021509
Forest Park,39061021571
Forest Park,39061021572
Springfield Twp.,39061021602
Springfield Twp.,39061021603
Colerain Twp.,39061021604
Mt. Healthy,39061021701
Mt. Healthy,39061021702
N. College Hill,39061021801
N. College Hill,39061021802
Springfield Twp.,39061021900
Greenhills,39061022000
Springfield Twp.,39061022101
Springfield Twp.,39061022102
Springfield Twp.,39061022200
Springdale,39061022301
Sycamore Twp.,39061022302
Glendale,39061022400
Woodlawn,39061022500
Wyoming,39061022601
Wyoming,39061022602
Lincoln Hts.,39061022700
Sharonville,39061023001
Sharonville,39061023002
Evendale,39061023100
Reading,39061023201
Reading,39061023210
Reading,39061023222
Amberley,39061023300
Golf Manor,39061023400
Blue Ash,39061023501
Blue Ash,39061023521
Blue Ash,39061023522
Sycamore Twp.,39061023600
Deer Park,39061023701
Deer Park,39061023702
Silverton,39061023800
Montgomery,39061023901
Montgomery,39061023902
Sycamore Twp.,39061024001
Sycamore Twp.,39061024002
Madeira,39061024100
Madeira,39061024200
Symmes Twp.,39061024301
Loveland,39061024303
Symmes Twp.,39061024321
Symmes Twp.,39061024322
Indian Hill,39061024400
Fairfax,39061024700
Mariemont,39061024800
Anderson Twp.-Newtown,39061024901
Anderson Twp.-Newtown,39061024902
Anderson Twp.-Newtown,39061025001
Anderson Twp.-Newtown,39061025002
Anderson Twp.-Newtown,39061025101
Anderson Twp.-Newtown,39061025102
Anderson Twp.-Newtown,39061025103
Anderson Twp.-Newtown,39061025104
Norwood,39061025200
Norwood,39061025300
Norwood,39061025401
Norwood,39061025402
Norwood,39061025500
Norwood,39061025600
Elmwood,39061025700
St. Bernard,39061025800
Harrison,39061026001
Crosby Twp.,39061026002
Harrison,39061026101
Whitewater Twp.,39061026102
Whitewater Twp.,39061026200
Lower Price Hill-Queensgate,39061026300
West End,39061026400
Downtown,39061026500
East End-Linwood,39061026600
Walnut Hills,39061026700
Mt. Adams,39061026800
West End,39061026900
Avondale,39061027000
Roselawn,39061027100
S. Fairmount,39061027200
Terrace Park,39061027300
Lockland,39061027400
